code,year,pays,y
20,1950,France,2.99
20,1951,France,2.87
20,1952,France,2.81
20,1953,France,2.71
20,1954,France,2.71
20,1955,France,2.71
20,1956,France,2.7
20,1957,France,2.71
20,1958,France,2.69
20,1959,France,2.74
20,1960,France,2.73
20,1961,France,2.8
20,1962,France,2.78
20,1963,France,2.89
20,1964,France,2.89
20,1965,France,2.83
20,1966,France,2.77
20,1967,France,2.66
20,1968,France,2.58
20,1969,France,2.54
20,1970,France,2.5
20,1971,France,2.52
20,1972,France,2.45
20,1973,France,2.31
20,1974,France,2.14
20,1975,France,1.95
20,1976,France,1.86
20,1977,France,1.88
20,1978,France,1.85
20,1979,France,1.88
20,1980,France,1.96
20,1981,France,1.96
20,1982,France,1.92
20,1983,France,1.8
20,1984,France,1.81
20,1985,France,1.82
20,1986,France,1.84
20,1987,France,1.81
20,1988,France,1.81
20,1989,France,1.79
20,1990,France,1.78
20,1991,France,1.77
20,1992,France,1.73
20,1993,France,1.66
20,1994,France,1.66
20,1995,France,1.71
20,1996,France,1.73
20,1997,France,1.72
20,1998,France,1.78
20,1999,France,1.81
20,2000,France,1.88
20,2001,France,1.88
20,2002,France,1.86
20,2003,France,1.87
20,2004,France,1.9
20,2005,France,1.92
20,2006,France,1.97
20,2007,France,1.95
20,2008,France,1.99
20,2009,France,1.99
20,2010,France,2.02
20,2011,France,1.99
20,2012,France,1.99
20,2013,France,1.97
20,2014,France,1.97
20,2015,France,1.93
20,2016,France,1.89
20,2017,France,1.86
20,2018,France,1.84
20,2019,France,1.83
20,2020,France,1.79
20,2021,France,1.79
20,2022,France,1.79
24,1950,Germany,2.09
24,1951,Germany,2.1
24,1952,Germany,2.11
24,1953,Germany,2.13
24,1954,Germany,2.16
24,1955,Germany,2.16
24,1956,Germany,2.21
24,1957,Germany,2.25
24,1958,Germany,2.28
24,1959,Germany,2.36
24,1960,Germany,2.38
24,1961,Germany,2.46
24,1962,Germany,2.47
24,1963,Germany,2.51
24,1964,Germany,2.52
24,1965,Germany,2.49
24,1966,Germany,2.5
24,1967,Germany,2.44
24,1968,Germany,2.34
24,1969,Germany,2.2
24,1970,Germany,2.04
24,1971,Germany,1.94
24,1972,Germany,1.73
24,1973,Germany,1.57
24,1974,Germany,1.52
24,1975,Germany,1.48
24,1976,Germany,1.49
24,1977,Germany,1.5
24,1978,Germany,1.49
24,1979,Germany,1.5
24,1980,Germany,1.54
24,1981,Germany,1.52
24,1982,Germany,1.49
24,1983,Germany,1.43
24,1984,Germany,1.39
24,1985,Germany,1.38
24,1986,Germany,1.41
24,1987,Germany,1.44
24,1988,Germany,1.46
24,1989,Germany,1.44
24,1990,Germany,1.44
24,1991,Germany,1.35
24,1992,Germany,1.31
24,1993,Germany,1.28
24,1994,Germany,1.25
24,1995,Germany,1.25
24,1996,Germany,1.32
24,1997,Germany,1.36
24,1998,Germany,1.36
24,1999,Germany,1.36
24,2000,Germany,1.38
24,2001,Germany,1.35
24,2002,Germany,1.34
24,2003,Germany,1.34
24,2004,Germany,1.36
24,2005,Germany,1.34
24,2006,Germany,1.33
24,2007,Germany,1.37
24,2008,Germany,1.38
24,2009,Germany,1.36
24,2010,Germany,1.39
24,2011,Germany,1.39
24,2012,Germany,1.41
24,2013,Germany,1.42
24,2014,Germany,1.47
24,2015,Germany,1.51
24,2016,Germany,1.59
24,2017,Germany,1.58
24,2018,Germany,1.56
24,2019,Germany,1.54
24,2020,Germany,1.52
24,2021,Germany,1.53
24,2022,Germany,1.53
27,1950,Iceland,3.85
27,1951,Iceland,3.72
27,1952,Iceland,3.79
27,1953,Iceland,3.93
27,1954,Iceland,3.91
27,1955,Iceland,4.07
27,1956,Iceland,4.14
27,1957,Iceland,4.19
